"obs_id","modal_class","n_agreements","agreement_rate","outcome"
72,2,29,0.966666666666667,1
73,4,16,0.533333333333333,0
74,2,28,0.933333333333333,1
75,2,27,0.9,0
76,3,17,0.566666666666667,1
77,4,24,0.8,0
78,3,26,0.866666666666667,0
79,1,28,0.933333333333333,0
80,2,28,0.933333333333333,1
81,1,26,0.866666666666667,0
82,3,30,1,0
83,4,19,0.633333333333333,0
84,2,29,0.966666666666667,0
85,2,21,0.7,1
86,1,26,0.866666666666667,1
87,4,16,0.533333333333333,0
88,4,23,0.766666666666667,1
89,1,27,0.9,1
90,3,30,1,0
91,1,27,0.9,0
92,2,28,0.933333333333333,0
93,1,15,0.5,1
94,1,28,0.933333333333333,0
95,1,24,0.8,0
96,4,14,0.466666666666667,0
97,2,28,0.933333333333333,1
98,1,23,0.766666666666667,0
99,4,16,0.533333333333333,0
100,4,20,0.666666666666667,0
101,1,29,0.966666666666667,1
102,3,28,0.933333333333333,0
103,4,17,0.566666666666667,1
104,4,22,0.733333333333333,1
105,2,28,0.933333333333333,1
106,2,28,0.933333333333333,0
107,4,20,0.666666666666667,0
108,4,22,0.733333333333333,1
109,4,19,0.633333333333333,0
110,4,18,0.6,1
111,2,29,0.966666666666667,0
112,4,17,0.566666666666667,0
113,3,22,0.733333333333333,0
114,2,22,0.733333333333333,0
115,3,25,0.833333333333333,0
116,4,26,0.866666666666667,1
117,1,28,0.933333333333333,0
118,1,25,0.833333333333333,1
119,3,20,0.666666666666667,0
120,4,14,0.466666666666667,0
121,3,26,0.866666666666667,0
122,1,27,0.9,0
123,4,16,0.533333333333333,1
124,2,29,0.966666666666667,0
125,4,20,0.666666666666667,1
126,3,19,0.633333333333333,0
127,4,25,0.833333333333333,0
128,4,19,0.633333333333333,0
129,1,26,0.866666666666667,1
130,2,29,0.966666666666667,0
131,2,29,0.966666666666667,0
132,3,24,0.8,1
133,1,28,0.933333333333333,0
134,1,29,0.966666666666667,0
135,4,12,0.4,0
136,3,25,0.833333333333333,0
137,3,19,0.633333333333333,0
138,2,28,0.933333333333333,0
139,2,28,0.933333333333333,1
140,4,21,0.7,0
141,2,25,0.833333333333333,0
142,2,21,0.7,1
143,1,29,0.966666666666667,0
144,4,17,0.566666666666667,1
145,3,24,0.8,0
146,3,19,0.633333333333333,0
147,1,23,0.766666666666667,0
148,1,13,0.433333333333333,0
149,2,26,0.866666666666667,0
150,1,27,0.9,0
151,1,25,0.833333333333333,1
152,1,19,0.633333333333333,0
153,4,17,0.566666666666667,0
154,2,23,0.766666666666667,0
155,2,28,0.933333333333333,0
156,1,21,0.7,0
157,4,15,0.5,0
158,2,28,0.933333333333333,0
159,4,15,0.5,0
160,4,25,0.833333333333333,0
161,1,26,0.866666666666667,0
162,1,27,0.9,0
163,3,21,0.7,1
164,4,27,0.9,0
165,2,28,0.933333333333333,0
166,3,15,0.5,0
167,2,19,0.633333333333333,0
168,2,17,0.566666666666667,0
169,2,28,0.933333333333333,0
170,1,23,0.766666666666667,0
171,1,22,0.733333333333333,1
172,4,18,0.6,0
173,1,26,0.866666666666667,0
174,4,16,0.533333333333333,0
175,4,15,0.5,0
176,3,30,1,0
177,1,27,0.9,0
178,1,27,0.9,0
179,3,28,0.933333333333333,0
180,4,20,0.666666666666667,0
181,1,26,0.866666666666667,0
182,1,25,0.833333333333333,0
183,4,18,0.6,0
184,3,26,0.866666666666667,0
185,1,27,0.9,0
186,3,22,0.733333333333333,1
187,3,15,0.5,0
188,1,25,0.833333333333333,0
189,4,18,0.6,0
190,1,25,0.833333333333333,1
191,2,17,0.566666666666667,1
192,3,20,0.666666666666667,1
193,4,21,0.7,0
194,1,28,0.933333333333333,1
195,3,22,0.733333333333333,0
196,2,28,0.933333333333333,0
197,3,20,0.666666666666667,0
198,2,28,0.933333333333333,0
199,3,21,0.7,0
200,1,15,0.5,1
201,4,18,0.6,0
202,4,25,0.833333333333333,1
203,2,28,0.933333333333333,0
204,1,28,0.933333333333333,0
205,1,21,0.7,0
206,3,30,1,0
207,3,30,1,0
208,1,16,0.533333333333333,0
209,1,26,0.866666666666667,1
210,1,29,0.966666666666667,0
211,1,27,0.9,0
212,2,29,0.966666666666667,0
213,3,30,1,0
214,3,30,1,0
215,2,15,0.5,0
216,4,19,0.633333333333333,0
217,4,22,0.733333333333333,0
218,1,26,0.866666666666667,0
219,1,26,0.866666666666667,1
220,3,28,0.933333333333333,0
221,1,29,0.966666666666667,0
222,4,28,0.933333333333333,0
223,2,27,0.9,1
224,4,17,0.566666666666667,1
225,4,17,0.566666666666667,0
226,2,25,0.833333333333333,0
227,2,15,0.5,0
228,1,19,0.633333333333333,0
229,2,17,0.566666666666667,0
230,1,22,0.733333333333333,0
231,1,11,0.366666666666667,0
232,1,29,0.966666666666667,1
233,2,23,0.766666666666667,0
234,1,24,0.8,0
235,1,28,0.933333333333333,0
236,1,27,0.9,0
237,2,29,0.966666666666667,0
238,4,22,0.733333333333333,0
239,4,20,0.666666666666667,0
240,2,28,0.933333333333333,0
241,4,19,0.633333333333333,0
242,4,20,0.666666666666667,0
243,4,20,0.666666666666667,0
244,2,25,0.833333333333333,0
245,4,15,0.5,0
246,1,16,0.533333333333333,0
247,1,29,0.966666666666667,0
248,4,17,0.566666666666667,0
249,2,29,0.966666666666667,0
250,1,23,0.766666666666667,0
251,1,21,0.7,1
252,4,12,0.4,0
253,2,23,0.766666666666667,0
254,1,28,0.933333333333333,1
255,4,16,0.533333333333333,0
256,4,17,0.566666666666667,1
257,2,28,0.933333333333333,0
258,3,28,0.933333333333333,0
259,4,12,0.4,0
260,3,27,0.9,0
261,3,20,0.666666666666667,0
262,1,26,0.866666666666667,1
263,3,19,0.633333333333333,0
264,2,26,0.866666666666667,0
265,3,24,0.8,0
266,2,28,0.933333333333333,0
267,4,26,0.866666666666667,1
268,4,19,0.633333333333333,1
269,4,18,0.6,0
270,3,25,0.833333333333333,0
271,2,28,0.933333333333333,0
272,1,25,0.833333333333333,1
273,1,25,0.833333333333333,0
274,4,16,0.533333333333333,0
275,1,26,0.866666666666667,0
276,3,26,0.866666666666667,1
277,3,24,0.8,0
278,1,29,0.966666666666667,0
279,3,30,1,0
280,4,21,0.7,1
281,2,26,0.866666666666667,0
282,3,30,1,0
283,1,25,0.833333333333333,0
284,2,20,0.666666666666667,1
285,4,14,0.466666666666667,0
286,3,30,1,0
287,1,24,0.8,0
288,2,29,0.966666666666667,1
289,1,26,0.866666666666667,0
290,2,29,0.966666666666667,1
291,3,26,0.866666666666667,0
292,2,20,0.666666666666667,1
293,1,20,0.666666666666667,1
294,4,14,0.466666666666667,1
295,4,18,0.6,0
296,4,14,0.466666666666667,0
297,1,20,0.666666666666667,0
298,4,28,0.933333333333333,0
299,2,23,0.766666666666667,0
300,2,28,0.933333333333333,0
301,3,16,0.533333333333333,1
302,3,22,0.733333333333333,0
303,1,27,0.9,0
304,3,19,0.633333333333333,0
305,4,15,0.5,1
306,4,21,0.7,1
307,1,15,0.5,0
308,4,18,0.6,1
309,2,19,0.633333333333333,0
310,4,17,0.566666666666667,0
311,1,26,0.866666666666667,0
312,4,15,0.5,1
313,2,22,0.733333333333333,1
314,4,19,0.633333333333333,0
315,4,20,0.666666666666667,0
316,2,28,0.933333333333333,0
317,1,29,0.966666666666667,1
318,3,26,0.866666666666667,0
319,1,26,0.866666666666667,0
320,4,13,0.433333333333333,1
321,1,26,0.866666666666667,0
322,4,20,0.666666666666667,0
323,4,24,0.8,0
324,4,16,0.533333333333333,0
325,2,17,0.566666666666667,0
326,3,23,0.766666666666667,0
327,4,17,0.566666666666667,0
328,1,27,0.9,1
329,1,27,0.9,0
330,1,28,0.933333333333333,0
331,1,18,0.6,0
332,3,27,0.9,0
333,3,18,0.6,0
334,2,28,0.933333333333333,1
335,1,27,0.9,0
336,2,28,0.933333333333333,1
337,4,22,0.733333333333333,0
338,1,28,0.933333333333333,1
339,2,28,0.933333333333333,0
340,4,25,0.833333333333333,0
341,3,15,0.5,0
342,3,30,1,0
343,4,29,0.966666666666667,1
344,1,28,0.933333333333333,0
345,4,16,0.533333333333333,1
346,2,29,0.966666666666667,0
347,1,27,0.9,0
348,3,30,1,1
349,1,28,0.933333333333333,0
350,1,13,0.433333333333333,0
351,3,27,0.9,1
352,1,26,0.866666666666667,0
353,2,20,0.666666666666667,0
354,1,21,0.7,0
355,4,18,0.6,0
356,4,16,0.533333333333333,0
357,4,23,0.766666666666667,1
358,3,28,0.933333333333333,0
359,4,16,0.533333333333333,0
360,1,22,0.733333333333333,0
361,3,30,1,0
362,2,29,0.966666666666667,0
363,4,21,0.7,0
364,4,23,0.766666666666667,0
365,2,26,0.866666666666667,0
366,3,23,0.766666666666667,0
367,1,25,0.833333333333333,0
368,2,25,0.833333333333333,1
369,4,18,0.6,0
370,4,22,0.733333333333333,0
371,1,23,0.766666666666667,0
372,4,24,0.8,0
373,3,28,0.933333333333333,1
374,1,21,0.7,0
375,4,21,0.7,0
376,4,18,0.6,0
377,3,30,1,0
378,3,29,0.966666666666667,0
379,3,28,0.933333333333333,0
380,3,24,0.8,0
381,1,18,0.6,1
382,4,17,0.566666666666667,0
383,4,20,0.666666666666667,0
384,4,17,0.566666666666667,0
385,1,27,0.9,0
386,2,21,0.7,0
387,4,17,0.566666666666667,1
388,3,26,0.866666666666667,0
389,2,29,0.966666666666667,1
390,4,16,0.533333333333333,0
391,3,23,0.766666666666667,0
392,1,29,0.966666666666667,1
393,4,23,0.766666666666667,0
394,1,25,0.833333333333333,0
395,4,19,0.633333333333333,1
396,4,23,0.766666666666667,0
397,4,24,0.8,0
